ticker,issuer,expense_ratio,aum,spread,asset_class,strategy,region,category,focus,niche,inverse,leveraged,etn,index_prov,selection,weight_schm,act_p_sec
VBK,3,0.07,6530000000,0.07,1,3,1,1,5,3,1,1,1,2,5,4,1
HDV,2,0.08,6470000000,0.02,1,12,1,8,10,1,1,1,1,17,8,7,1
FLOT,2,0.2,6440000000,0.02,2,1,1,2,3,11,1,1,1,6,4,3,1
VFH,3,0.1,6110000000,0.02,1,1,1,5,8,1,1,1,1,3,2,1,1
SCHD,6,0.07,5980000000,0.03,1,12,1,8,10,1,1,1,1,10,8,1,1
SHV,2,0.15,5830000000,0.01,2,1,1,6,18,13,1,1,1,12,4,3,1
EFV,2,0.4,5810000000,0.04,1,4,2,1,2,4,1,1,1,3,5,1,1
SLV,2,0.5,5770000000,0.06,3,1,4,4,24,5,1,1,1,9,6,5,1
SCHA,6,0.05,5650000000,0.06,1,1,1,1,5,1,1,1,1,10,2,1,1
IJJ,2,0.25,5560000000,0.06,1,4,1,1,4,4,1,1,1,1,8,1,1
PGX,4,0.5,5330000000,0.07,2,1,1,3,11,2,1,1,1,18,4,3,1
INDA,2,0.71,5290000000,0.03,1,1,7,1,2,1,1,1,1,3,2,1,1
VXF,3,0.08,5170000000,0.05,1,1,1,1,25,1,1,1,1,1,2,1,1
GOVT,2,0.15,5150000000,0.04,2,1,1,6,18,2,1,1,1,12,4,3,1
VNQI,3,0.15,4970000000,0.04,1,1,5,5,7,1,1,1,1,1,2,1,1
PRF,4,0.39,4950000000,0.03,1,12,1,1,1,1,1,1,1,4,8,11,1
PCY,4,0.5,4910000000,0.03,2,1,3,9,16,2,1,1,1,19,9,2,1
OEF,2,0.2,4900000000,0.02,1,1,1,1,1,1,1,1,1,1,1,1,1
VOT,3,0.07,4880000000,0.04,1,3,1,1,4,3,1,1,1,2,5,4,1
VPL,3,0.1,4760000000,0.03,1,1,7,1,2,1,1,1,1,4,2,1,1
EWG,2,0.48,4750000000,0.03,1,1,6,1,2,1,1,1,1,3,2,1,1
IDV,2,0.5,4690000000,0.03,1,5,2,8,10,1,1,1,1,10,7,7,1
FDN,12,0.54,4660000000,0.05,1,1,1,5,14,14,1,1,1,10,2,1,1
GUNR,13,0.46,4620000000,0.03,1,13,4,5,26,15,1,1,1,17,12,2,1
IJS,2,0.25,4570000000,0.09,1,4,1,1,5,4,1,1,1,1,8,1,1
IYR,2,0.44,4550000000,0.01,1,1,1,5,7,1,1,1,1,10,2,1,1
SCHG,6,0.04,4550000000,0.04,1,3,1,1,1,3,1,1,1,10,5,1,1
SJNK,1,0.4,4460000000,0.04,2,1,1,3,12,6,1,1,1,6,4,3,1
FEZ,1,0.29,4400000000,0.03,1,1,6,1,1,1,1,1,1,20,2,1,1
IJT,2,0.25,4390000000,0.08,1,3,1,1,5,3,1,1,1,1,8,1,1
VMBS,3,0.07,4350000000,0.03,2,1,1,6,19,2,1,1,1,6,4,3,1
SCHE,6,0.13,4300000000,0.04,1,1,3,1,2,1,1,1,1,4,2,1,1
AAXJ,2,0.72,4270000000,0.01,1,1,7,1,2,1,1,1,1,3,2,1,1
EMLC,9,0.44,4250000000,0.05,2,1,3,9,16,2,1,1,1,11,4,3,1
SCHZ,6,0.04,4230000000,0.03,2,1,1,2,3,2,1,1,1,6,4,3,1
GDXJ,9,0.52,4230000000,0.03,1,1,4,5,22,12,1,1,1,21,2,1,1
VSS,3,0.13,4210000000,0.09,1,1,5,1,5,1,1,1,1,4,2,1,1
ITA,2,0.44,4160000000,0.05,1,1,1,5,20,16,1,1,1,10,2,1,1
HEFA,2,0.36,4150000000,0.04,1,10,2,1,2,1,1,1,1,3,2,1,1
EEMV,2,0.25,4150000000,0.04,1,7,3,1,2,1,1,1,1,3,5,4,1
XBI,1,0.35,4090000000,0.05,1,8,1,5,13,10,1,1,1,1,2,8,1
CWB,1,0.4,4050000000,0.02,2,1,1,3,27,2,1,1,1,6,4,3,1
MTUM,2,0.15,3920000000,0.03,1,14,1,1,2,1,1,1,1,3,14,12,1
FVD,12,0.7,3890000000,0.05,1,5,1,8,10,1,1,1,1,22,7,8,1
VTIP,3,0.07,3870000000,0.02,2,1,1,6,9,6,1,1,1,6,4,3,1
VDE,3,0.1,3850000000,0.04,1,1,1,5,15,1,1,1,1,3,2,1,1
EWY,2,0.64,3830000000,0.01,1,1,7,1,2,1,1,1,1,3,2,1,1
VDC,3,0.1,3820000000,0.03,1,1,1,5,21,1,1,1,1,3,2,1,1
EWT,2,0.64,3790000000,0.03,1,1,7,1,2,1,1,1,1,3,2,1,1
SCHH,6,0.07,3770000000,0.05,1,1,1,5,7,1,1,1,1,10,2,1,1
ACWV,2,0.2,3740000000,0.06,1,7,4,1,2,1,1,1,1,3,5,4,1
RWX,1,0.59,3740000000,0.03,1,1,5,5,7,1,1,1,1,10,2,1,1
IYW,2,0.44,3710000000,0.03,1,1,1,5,14,1,1,1,1,10,2,1,1
XLB,1,0.14,3700000000,0.02,1,1,1,5,22,1,1,1,1,1,1,1,1
SCHM,6,0.05,3620000000,0.06,1,1,1,1,4,1,1,1,1,10,2,1,1
SCHV,6,0.04,3620000000,0.04,1,4,1,1,1,4,1,1,1,10,5,1,1
QUAL,2,0.15,3610000000,0.03,1,12,1,1,2,1,1,1,1,3,8,11,1
TOTL,1,0.55,3580000000,0.04,2,11,4,2,16,2,1,1,1,16,12,9,2
SHM,1,0.2,3550000000,0.02,2,1,1,10,3,6,1,1,1,6,4,3,1
AMJ,14,0.85,3530000000,0.04,1,5,1,5,15,8,1,1,2,13,10,1,1
FXI,2,0.74,3470000000,0.02,1,2,7,1,1,1,1,1,1,4,15,1,1
VIS,3,0.1,3290000000,0.05,1,1,1,5,20,1,1,1,1,3,2,1,1
EWC,2,0.48,3270000000,0.04,1,1,1,1,2,1,1,1,1,3,2,1,1
ICF,2,0.34,3270000000,0.05,1,12,1,5,7,1,1,1,1,23,1,1,1
SHYG,2,0.3,3260000000,0.03,2,1,1,3,12,6,1,1,1,8,4,3,1
IEV,2,0.6,3190000000,0.02,1,1,6,1,1,1,1,1,1,1,1,1,1
MGK,3,0.07,3180000000,0.03,1,3,1,1,1,3,1,1,1,2,5,4,1
IEUR,2,0.1,3180000000,0.04,1,1,6,1,2,1,1,1,1,3,2,1,1
EFG,2,0.4,3180000000,0.09,1,3,2,1,2,3,1,1,1,3,5,1,1
KBE,1,0.35,3170000000,0.03,1,8,1,5,8,17,1,1,1,1,2,8,1
EPP,2,0.49,3140000000,0.02,1,1,7,1,2,1,1,1,1,3,2,1,1
SCPB,1,0.12,3140000000,0.03,2,1,1,3,3,6,1,1,1,6,4,3,1
KRE,1,0.35,3130000000,0.02,1,8,1,5,8,17,1,1,1,1,1,8,1
FNDX,6,0.25,3130000000,0.05,1,12,1,1,1,1,1,1,1,7,8,11,1
NOBL,15,0.35,3110000000,0.03,1,5,1,1,1,1,1,1,1,1,7,8,1
SPHD,4,0.3,2980000000,0.03,1,13,1,1,1,1,1,1,1,1,5,7,1
FNDF,6,0.25,2940000000,0.06,1,12,2,1,1,1,1,1,1,7,8,11,1
RWR,1,0.25,2910000000,0.05,1,1,1,5,7,1,1,1,1,10,2,1,1
DON,8,0.38,2910000000,0.06,1,5,1,1,4,1,1,1,1,14,7,7,1
NEAR,2,0.25,2790000000,0.02,2,11,1,2,3,6,1,1,1,16,12,9,2
VPU,3,0.1,2770000000,0.04,1,1,1,5,23,1,1,1,1,3,2,1,1
FPE,12,0.85,2750000000,0.05,2,11,4,3,16,2,1,1,1,16,12,9,2
RWO,1,0.5,2730000000,0.07,1,1,4,5,7,1,1,1,1,10,2,1,1
EWU,2,0.48,2730000000,0.03,1,1,6,1,2,1,1,1,1,3,2,1,1
ACWX,2,0.33,2720000000,0.03,1,1,5,1,2,1,1,1,1,3,2,1,1
IUSG,2,0.05,2590000000,0.04,1,3,1,1,2,3,1,1,1,1,5,1,1
MCHI,2,0.64,2570000000,0.02,1,1,7,1,2,1,1,1,1,3,2,1,1
SCHP,6,0.05,2500000000,0.04,2,1,1,6,9,2,1,1,1,6,4,3,1
TFI,1,0.23,2470000000,0.04,2,1,1,10,3,2,1,1,1,6,4,3,1
XLRE,1,0.14,2450000000,0.03,1,1,1,5,7,1,1,1,1,1,1,1,1
XOP,1,0.35,2440000000,0.03,1,8,1,5,15,18,1,1,1,1,2,8,1
GSLC,16,0.09,2400000000,0.04,1,13,1,1,1,1,1,1,1,24,2,2,1
USO,17,0.76,2390000000,0.1,3,1,4,11,28,19,1,1,1,25,6,5,1
FV,12,0.89,2370000000,0.08,1,13,4,1,2,1,1,1,1,26,5,2,1
DBEU,11,0.45,2360000000,0.04,1,10,6,1,2,1,1,1,1,3,2,1,1
VLUE,2,0.15,2350000000,0.03,1,4,1,1,2,4,1,1,1,3,8,11,1
IUSV,2,0.05,2350000000,0.07,1,4,1,1,2,4,1,1,1,1,5,4,1
SDOG,7,0.4,2250000000,0.06,1,5,1,1,1,1,1,1,1,27,7,8,1
BLV,3,0.07,2230000000,0.09,2,1,1,7,3,9,1,1,1,6,4,3,1
MLPI,18,0.85,2220000000,0.13,1,5,1,5,15,8,1,1,2,13,10,1,1
VCR,3,0.1,2210000000,0.04,1,1,1,5,17,1,1,1,1,3,2,1,1
ITR,1,0.12,2180000000,0.04,2,1,1,3,3,7,1,1,1,6,4,3,1
BOND,10,0.56,2120000000,0.06,2,11,4,2,16,2,1,1,1,16,12,9,2
VCLT,3,0.07,2110000000,0.08,2,1,1,3,3,9,1,1,1,6,4,3,1
IYH,2,0.44,2110000000,0.03,1,1,1,5,13,1,1,1,1,10,2,1,1
RPG,5,0.35,2110000000,0.02,1,3,1,1,1,3,1,1,1,1,8,11,1
HYD,9,0.35,2110000000,0.04,2,1,1,10,12,2,1,1,1,6,4,3,1
TDTT,13,0.2,2100000000,0.11,2,15,1,6,9,7,1,1,1,8,4,9,1
FNDA,6,0.25,2100000000,0.1,1,12,1,1,5,1,1,1,1,7,8,11,1
DGRO,2,0.08,2100000000,0.04,1,12,1,1,2,1,1,1,1,17,8,7,1
QTEC,12,0.6,2080000000,0.05,1,2,1,5,14,1,1,1,1,5,3,8,1
RSX,9,0.65,2030000000,0.05,1,1,6,1,2,1,1,1,1,21,2,1,1
TBT,15,0.93,2020000000,0.03,2,1,1,6,18,9,2,1,1,12,4,3,1
SCHO,6,0.06,2010000000,0.02,2,1,1,6,18,6,1,1,1,6,4,3,1
DEM,8,0.63,2010000000,0.08,1,5,3,8,10,1,1,1,1,14,7,7,1
GVI,2,0.2,1980000000,0.07,2,1,1,7,3,7,1,1,1,6,4,3,1
DLN,8,0.28,1960000000,0.03,1,5,1,1,1,1,1,1,1,14,7,7,1
VAW,3,0.1,1960000000,0.05,1,1,1,5,22,1,1,1,1,3,2,1,1
DES,8,0.38,1920000000,0.11,1,5,1,1,5,1,1,1,1,14,7,7,1
IYF,2,0.44,1920000000,0.03,1,1,1,5,8,1,1,1,1,10,2,1,1
DBC,4,0.89,1910000000,0.07,3,16,4,2,16,20,1,1,1,19,16,13,1
TQQQ,15,0.95,1880000000,0.03,1,2,1,1,1,1,1,2,1,5,3,2,1
SSO,15,0.89,1870000000,0.01,1,1,1,1,1,1,1,2,1,1,1,1,1
EWH,2,0.48,1860000000,0.04,1,1,7,1,2,1,1,1,1,3,2,1,1
VGSH,3,0.07,1860000000,0.03,2,1,1,6,16,6,1,1,1,6,4,3,1
EMLP,12,0.95,1840000000,0.08,1,11,1,5,15,8,1,1,1,16,12,9,2
VRP,4,0.5,1840000000,0.06,2,1,1,3,11,11,1,1,1,28,1,3,1
SRLN,1,0.7,1830000000,0.03,2,11,4,3,12,11,1,1,1,16,12,9,2
EPI,8,0.84,1810000000,0.04,1,12,7,1,2,1,1,1,1,14,17,14,1
EWA,2,0.48,1800000000,0.04,1,1,7,1,2,1,1,1,1,3,2,1,1
SH,15,0.89,1780000000,0.03,1,1,1,1,1,1,2,1,1,1,1,1,1
QDF,13,0.37,1780000000,0.05,1,13,1,1,2,1,1,1,1,29,12,4,1
HYS,10,0.55,1780000000,0.05,2,1,1,3,12,6,1,1,1,18,4,3,1
HEZU,2,0.51,1780000000,0.03,1,10,6,1,2,1,1,1,1,3,2,1,1
BIL,1,0.14,1760000000,0.02,2,1,1,6,18,13,1,1,1,6,4,3,1
IGF,2,0.48,1750000000,0.11,1,13,4,5,26,21,1,1,1,1,5,2,1
MGV,3,0.07,1750000000,0.06,1,4,1,1,1,4,1,1,1,2,5,4,1
ITM,9,0.24,1720000000,0.05,2,1,1,10,3,7,1,1,1,6,11,3,1
IOO,2,0.4,1700000000,0.1,1,1,4,1,1,1,1,1,1,1,1,1,1
PRFZ,4,0.39,1690000000,0.04,1,12,1,1,25,1,1,1,1,4,8,11,1
VOOG,3,0.15,1680000000,0.03,1,3,1,1,1,3,1,1,1,1,8,1,1
EUFN,2,0.48,1680000000,0.04,1,1,6,5,8,1,1,1,1,3,2,1,1
FDL,12,0.45,1680000000,0.04,1,12,1,8,10,1,1,1,1,17,8,7,1
PGF,4,0.63,1670000000,0.06,2,1,1,3,11,2,1,1,1,28,4,3,1
FIGY,19,0.76,1670000000,0.32,1,5,2,8,10,1,1,2,2,3,7,1,1
DLS,8,0.58,1660000000,0.09,1,5,2,1,5,1,1,1,1,14,7,7,1
VTEB,3,0.09,1650000000,0.03,2,1,1,10,3,2,1,1,1,1,11,3,1
DGRW,8,0.28,1630000000,0.04,1,13,1,1,2,1,1,1,1,14,5,7,1
BWX,1,0.5,1630000000,0.08,2,1,5,9,3,2,1,1,1,6,4,3,1
IXJ,2,0.48,1620000000,0.08,1,1,4,5,13,1,1,1,1,1,1,1,1
PZA,4,0.28,1600000000,0.08,2,1,1,10,3,2,1,1,1,18,4,3,1
FNDE,6,0.39,1600000000,0.07,1,12,3,1,1,1,1,1,1,7,8,11,1
SCHC,6,0.12,1590000000,0.12,1,1,2,1,5,1,1,1,1,4,2,1,1
CRED,2,0.15,1540000000,0.07,2,1,1,3,3,2,1,1,1,6,4,3,1
EWP,2,0.48,1540000000,0.03,1,1,6,1,2,1,1,1,1,3,2,1,1
DBJP,11,0.45,1540000000,0.05,1,10,7,1,2,1,1,1,1,3,2,1,1
SUB,2,0.25,1520000000,0.03,2,1,1,10,3,6,1,1,1,1,11,3,1
GEM,16,0.5,1510000000,0.14,1,13,3,1,2,1,1,1,1,24,2,2,1
FEX,12,0.61,1500000000,0.04,1,13,1,1,1,1,1,1,1,5,5,2,1
ITB,2,0.44,1470000000,0.03,1,1,1,5,17,22,1,1,1,10,2,1,1
XIV,20,1.35,1460000000,0.03,4,1,1,12,29,23,2,1,2,1,6,5,1
IXN,2,0.48,1450000000,0.11,1,1,4,5,14,1,1,1,1,1,1,1,1
CWI,1,0.3,1440000000,0.06,1,1,5,1,2,1,1,1,1,3,2,1,1
FXR,12,0.66,1430000000,0.06,1,13,1,5,20,1,1,1,1,15,5,2,1
FNDC,6,0.39,1410000000,0.1,1,12,2,1,5,1,1,1,1,7,8,11,1
PDP,4,0.64,1400000000,0.06,1,14,1,1,2,1,1,1,1,26,14,12,1
RYT,5,0.4,1390000000,0.04,1,8,1,5,14,1,1,1,1,1,1,8,1
IHI,2,0.44,1390000000,0.05,1,1,1,5,13,24,1,1,1,10,2,1,1
FAS,21,1.05,1360000000,0.02,1,1,1,5,8,1,1,2,1,7,2,1,1
FLGE,20,1.52,1360000000,0.22,1,3,1,1,1,3,1,2,2,7,5,4,1
SDS,15,0.9,1360000000,0.02,1,1,1,1,1,1,2,1,1,1,1,1,1
FXU,12,0.62,1350000000,0.05,1,13,1,5,23,1,1,1,1,15,5,2,1
PWV,4,0.57,1350000000,0.04,1,4,1,1,1,4,1,1,1,15,5,2,1
NUGT,21,1.15,1340000000,0.07,1,1,4,5,22,12,1,2,1,15,2,1,1
VOX,3,0.1,1340000000,0.08,1,1,1,5,30,1,1,1,1,3,2,1,1
VGIT,3,0.07,1330000000,0.06,2,1,1,6,16,7,1,1,1,6,4,3,1
FTSL,12,0.86,1330000000,0.06,2,11,4,3,12,11,1,1,1,16,12,9,2
IYG,2,0.44,1330000000,0.03,1,1,1,5,8,25,1,1,1,10,2,1,1
VONG,3,0.12,1330000000,0.04,1,3,1,1,1,3,1,1,1,7,5,4,1
DGS,8,0.63,1330000000,0.1,1,5,3,1,5,1,1,1,1,14,7,7,1
ONEQ,22,0.21,1320000000,0.16,1,2,1,1,2,1,1,1,1,5,3,1,1
QLD,15,0.95,1320000000,0.02,1,2,1,1,1,1,1,2,1,5,3,2,1
XT,2,0.47,1320000000,0.07,1,13,4,5,14,1,1,1,1,17,12,8,1
SPHQ,4,0.29,1310000000,0.04,1,12,1,1,1,1,1,1,1,1,8,11,1
PKW,4,0.63,1310000000,0.04,1,12,1,1,2,1,1,1,1,5,18,1,1
EWL,2,0.48,1300000000,0.03,1,1,6,1,2,1,1,1,1,3,2,1,1
REM,2,0.48,1300000000,0.05,1,1,1,5,26,26,1,1,1,4,2,1,1
STIP,2,0.06,1300000000,0.02,2,1,1,6,9,6,1,1,1,6,4,3,1
MOAT,9,0.49,1290000000,0.07,1,12,1,1,2,1,1,1,1,17,12,8,1
ROBO,23,0.95,1290000000,0.05,1,8,4,1,2,1,1,1,1,30,1,9,1
FLRN,1,0.15,1260000000,0.04,2,1,1,2,3,11,1,1,1,6,4,3,1
DWX,1,0.45,1260000000,0.13,1,5,5,8,10,1,1,1,1,1,7,7,1
ILF,2,0.49,1260000000,0.03,1,1,8,1,1,1,1,1,1,1,1,1,1
SVXY,15,1.22,1250000000,0.03,4,1,1,12,29,23,2,1,1,1,6,5,1
EWW,2,0.48,1250000000,0.02,1,1,8,1,2,1,1,1,1,3,2,1,1
MGC,3,0.07,1250000000,0.03,1,1,1,1,1,1,1,1,1,2,2,1,1
DHS,8,0.38,1240000000,0.07,1,5,1,8,10,1,1,1,1,14,7,7,1
HYLS,12,1.11,1230000000,0.09,2,11,4,2,12,2,1,1,1,16,12,9,2
HEWJ,2,0.49,1220000000,0.03,1,10,7,1,2,1,1,1,1,3,2,1,1
GNR,1,0.4,1220000000,0.1,1,8,4,5,26,15,1,1,1,1,1,2,1
OIH,9,0.35,1210000000,0.04,1,1,4,5,15,27,1,1,1,31,2,1,1
SOXX,2,0.48,1210000000,0.03,1,1,1,5,14,28,1,1,1,5,2,1,1
FBGX,18,1.29,1210000000,0.34,1,3,1,1,1,3,1,2,2,7,5,4,1
GSG,2,0.8,1210000000,0.11,3,1,4,2,16,19,1,1,1,1,19,15,1
IUSB,2,0.06,1210000000,0.04,2,1,1,2,16,2,1,1,1,6,4,3,1
PHB,4,0.5,1200000000,0.05,2,12,1,3,12,2,1,1,1,32,8,11,1
