ticker,FUND_EXPENSE_RATIO,FUND_ASSETS_USD,AVERAGE_BID_ASK_SPREAD,FUND_LEVERAGE,INVERSE_FUND_INDICATOR,ACTIVELY_MANAGED,ID_BB_ULTIMATE_PARENT_CO_NAME,FUND_ASSET_CLASS_FOCUS,FUND_STRATEGY,STYLE_ANALYSIS_REGION_FOCUS,FUND_MKT_CAP_FOCUS,FUND_TYP,FUND_STRATEGY,INDEX_WEIGHTING_METHODOLOGY,REBALANCING_FREQUENCY
EEM,0.69,31749.31055,0.024103353,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
IWD,0.2,38039.51953,0.010953562,N,N,N,BlackRock Inc,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Yearly
GLD,0.4,32538.54492,0.007963367,N,N,N,State Street Corp,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETF,Precious Metals,Single Asset,Yearly
BND,0.04,40418.07813,0.01221791,N,N,N,Vanguard Group Inc/The,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
VNQ,0.12,34011.1875,0.012143477,N,N,N,Vanguard Group Inc/The,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
IEFA,0.08,64782.91797,0.016431279,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Semi-Annually
VTV,0.04,47864.4375,0.023741463,N,N,N,Vanguard Group Inc/The,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Quarterly
IJR,0.07,42802.02734,0.013455506,N,N,N,BlackRock Inc,Equity,Blend,North America,Small-cap,ETF,Blend,Market Cap,Quarterly
VUG,0.04,39627.98438,0.026158043,N,N,N,Vanguard Group Inc/The,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
VIG,0.06,34824.33594,0.016687987,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Yearly
XLF,0.13,23861.37109,0.036669755,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
TIP,0.2,20315.59961,0.008859735,N,N,N,BlackRock Inc,Fixed Income,Inflation Protected,#N/A N/A,#N/A N/A,ETF,Inflation Protected,Market Cap,Monthly
BSV,0.07,22412.63477,0.012510372,N,N,N,Vanguard Group Inc/The,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
VCSH,0.07,23906.58789,0.012602975,N,N,N,Vanguard Group Inc/The,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
VEU,0.09,23416.00977,0.02015612,N,N,N,Vanguard Group Inc/The,Equity,Blend,Global,Large-cap,ETF,Blend,Market Cap,Quarterly
VO,0.04,25574.08203,0.0251537,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Mid-cap,ETF,Blend,Market Cap,Quarterly
VB,0.05,24604.54688,0.043922464,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Small-cap,ETF,Blend,Market Cap,Quarterly
VYM,0.06,24022.3125,0.017023296,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Yearly
IVW,0.18,23100.78516,0.03035436,N,N,N,BlackRock Inc,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
IWB,0.15,19936.47266,0.018935678,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Yearly
PFF,0.47,15206.33984,0.027307695,N,N,N,BlackRock Inc,Fixed Income,Preferred,Global,#N/A N/A,ETF,Preferred,Market Cap,Quarterly
HYG,0.49,15598.80078,0.011618133,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
XLV,0.13,18540.32227,0.011110151,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
MDY,0.24,18951.17383,0.018070192,N,N,N,State Street Corp,Equity,Blend,North America,Mid-cap,ETF,Blend,Market Cap,Other
DIA,0.17,20714.89844,0.00672161,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Price,Other
XLK,0.13,21133.40625,0.01323444,N,N,N,State Street Corp,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
VGK,0.09,13673.67773,0.018414444,N,N,N,Vanguard Group Inc/The,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
VCIT,0.07,24600.04883,0.011573287,N,N,N,Vanguard Group Inc/The,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
DVY,0.39,17136.75977,0.024562228,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Dividend,Quarterly
EWJ,0.47,12434.50391,0.01841458,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
XLE,0.13,11272.93848,0.016382712,N,N,N,State Street Corp,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
SDY,0.35,18641.50195,0.019347369,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Dividend,Quarterly
IWR,0.2,19252.49023,0.01880286,N,N,N,BlackRock Inc,Equity,Blend,North America,Mid-cap,ETF,Blend,Market Cap,Yearly
VGT,0.1,20093.67188,0.030534299,N,N,N,Vanguard Group Inc/The,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
BIV,0.07,12105.83691,0.013013161,N,N,N,Vanguard Group Inc/The,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
USMV,0.15,28195.61523,0.01645576,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Multi Factor,Quarterly
IVE,0.18,15174.71875,0.028870841,N,N,N,BlackRock Inc,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Quarterly
EZU,0.48,6109.717285,0.025425977,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
RSP,0.2,15769.14355,0.02609094,N,N,N,Invesco Ltd,Equity,Blend,North America,Large-cap,ETF,Blend,Equal,Quarterly
JNK,0.4,8917.661133,0.009344021,N,N,N,State Street Corp,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
EMB,0.4,15028.74121,0.009505162,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
CSJ,#N/A N/A,11781.07324,#N/A N/A,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
SCHF,0.06,18019.78711,0.031887673,N,N,N,Charles Schwab Corp/The,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
XLY,0.13,13630.04688,0.009257302,N,N,N,State Street Corp,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
VBR,0.07,13109.74023,0.059995406,N,N,N,Vanguard Group Inc/The,Equity,Value,North America,Small-cap,ETF,Value,Market Cap,Quarterly
SHY,0.15,18100.28516,0.011838854,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
MBB,0.09,16619.9082,0.010700575,N,N,N,BlackRock Inc,Fixed Income,Mortgage-Backed,#N/A N/A,#N/A N/A,ETF,Mortgage-Backed,Market Cap,Monthly
ITOT,0.03,20475.62109,0.016387859,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
XLI,0.13,10021.09375,0.013328237,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
SCHB,0.03,15055.80566,0.016132595,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
VV,0.04,14213.75293,0.025025301,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
SCHX,0.03,16632.97656,0.014969887,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
AMLP,0.85,8559.34668,0.102682442,N,N,N,SS&C Technologies Holdings Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
TLT,0.15,14062.93945,0.007718795,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
IBB,0.47,7226.92041,0.034106299,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
IWS,0.25,10520.36719,0.01871449,N,N,N,BlackRock Inc,Equity,Value,North America,Mid-cap,ETF,Value,Market Cap,Yearly
XLP,0.13,11730.4248,0.017138695,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
IAU,0.25,12069.10449,0.078374461,N,N,N,BlackRock Inc,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETF,Precious Metals,Single Asset,Yearly
VXUS,0.09,12624.36523,0.019805604,N,N,N,Vanguard Group Inc/The,Equity,Blend,Global,Large-cap,ETF,Blend,Market Cap,Quarterly
SCZ,0.4,9516.354492,0.020235537,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Small-cap,ETF,Blend,Market Cap,Quarterly
VT,0.09,12283.60938,0.013911185,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
HEDJ,0.58,3598.626221,0.01639118,N,N,N,WisdomTree Investments Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Dividend,Yearly
MUB,0.07,12699.21289,0.009321418,N,N,N,BlackRock Inc,Fixed Income,Municipals,#N/A N/A,#N/A N/A,ETF,Municipals,Market Cap,Quarterly
BKLN,0.65,4030.962646,0.044265744,N,N,N,Invesco Ltd,Fixed Income,Bank Loans,#N/A N/A,#N/A N/A,ETF,Bank Loans,Market Cap,Semi-Annually
IWN,0.25,8540.731445,0.022447584,N,N,N,BlackRock Inc,Equity,Value,North America,Small-cap,ETF,Value,Market Cap,Yearly
IWO,0.25,8840.578125,0.052826639,N,N,N,BlackRock Inc,Equity,Growth,North America,Small-cap,ETF,Growth,Market Cap,Yearly
IEI,0.15,7632.475586,0.008441509,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
BNDX,0.09,17618.25,0.017702471,N,N,N,Vanguard Group Inc/The,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
DXJ,0.48,2961.663818,0.021203162,N,N,N,WisdomTree Investments Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Dividend,Monthly
IEF,0.15,16246.01465,0.009217197,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
IWV,0.2,9286.28418,0.022544847,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Yearly
GDX,0.53,9681.669922,0.044039295,N,N,N,Van Eck Associates Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
VOE,0.07,9078.509766,0.023651569,N,N,N,Vanguard Group Inc/The,Equity,Value,North America,Mid-cap,ETF,Value,Market Cap,Quarterly
ACWI,0.33,10552.61328,0.013889729,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
XLU,0.13,9773.338867,0.016761511,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
IWP,0.25,10711.65723,0.043737872,N,N,N,BlackRock Inc,Equity,Growth,North America,Mid-cap,ETF,Growth,Market Cap,Yearly
EFAV,0.2,11293.83203,0.01453695,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
MINT,0.42,11827.74414,0.009863888,N,N,Y,Allianz SE,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Proprietary,Monthly
IXUS,0.1,14511.32617,0.017879662,N,N,N,BlackRock Inc,Equity,Blend,Global,Broad Market,ETF,Blend,Market Cap,Semi-Annually
CIU,#N/A N/A,6392.30127,#N/A N/A,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
VHT,0.1,9094.668945,0.037575864,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
SPLV,0.25,11535.22852,0.018330304,N,N,N,Invesco Ltd,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
EWZ,0.62,8662.905273,0.023474569,N,N,N,BlackRock Inc,Equity,Blend,Latin America,Large-cap,ETF,Blend,Market Cap,Quarterly
DBEF,0.35,4858.130371,0.031908287,N,N,N,Deutsche Bank AG,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Monthly
IJK,0.25,7560.032227,0.071599984,N,N,N,BlackRock Inc,Equity,Growth,North America,Mid-cap,ETF,Growth,Market Cap,Quarterly
VBK,0.07,8802.224609,0.082554589,N,N,N,Vanguard Group Inc/The,Equity,Growth,North America,Small-cap,ETF,Growth,Market Cap,Quarterly
HDV,0.08,7221.754883,0.019227077,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Dividend,Quarterly
FLOT,0.2,10010.00098,0.019786092,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
VFH,0.1,7478.442871,0.031434892,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
SCHD,0.06,9384.287109,0.020550659,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
SHV,0.15,24330.2207,0.009055997,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
EFV,0.4,5871.952148,0.022025104,N,N,N,BlackRock Inc,Equity,Value,Developed Market,Large-cap,ETF,Value,Market Cap,Quarterly
SLV,0.5,4684.35498,0.071937117,N,N,N,BlackRock Inc,Commodity,Precious Metals,#N/A N/A,#N/A N/A,ETF,Precious Metals,Single Asset,Unknown
SCHA,0.04,8096.166504,0.039334211,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Small-cap,ETF,Blend,Market Cap,Quarterly
IJJ,0.25,6235.973145,0.057157031,N,N,N,BlackRock Inc,Equity,Value,North America,Mid-cap,ETF,Value,Market Cap,Quarterly
PGX,0.52,5095.182129,0.06868879,N,N,N,Invesco Ltd,Fixed Income,Preferred,Global,#N/A N/A,ETF,Preferred,Market Cap,Monthly
INDA,0.68,5343.192383,0.028030166,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Market Cap,Quarterly
VXF,0.07,6855.044922,0.033429251,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
GOVT,0.15,11058.65039,0.039040456,N,N,N,BlackRock Inc,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
VNQI,0.12,5955.748535,0.034943548,N,N,N,Vanguard Group Inc/The,Equity,Blend,Global,Broad Market,ETF,Blend,Market Cap,Quarterly
PRF,0.39,5402.26709,0.026257536,N,N,N,Invesco Ltd,Equity,Blend,North America,Large-cap,ETF,Blend,Fundamentals,Quarterly
PCY,0.5,3293.019043,0.037906181,N,N,N,Invesco Ltd,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Equal,Quarterly
OEF,0.2,4943.030762,0.025817866,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
VOT,0.07,6214.112793,0.034646252,N,N,N,Vanguard Group Inc/The,Equity,Growth,North America,Mid-cap,ETF,Growth,Market Cap,Quarterly
VPL,0.09,3819.746338,0.017412044,N,N,N,Vanguard Group Inc/The,Equity,Blend,Global,Large-cap,ETF,Blend,Market Cap,Quarterly
EWG,0.48,2261.768066,0.035933843,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
IDV,0.5,4347.402832,0.033118216,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Dividend,Quarterly
FDN,0.54,8738.323242,0.059858919,N,N,N,Grace Partners of DuPage LP,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
GUNR,0.46,5590.266113,0.04158691,N,N,N,Northern Trust Corp,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
IJS,0.25,5933.961426,0.068171833,N,N,N,BlackRock Inc,Equity,Value,North America,Small-cap,ETF,Value,Market Cap,Quarterly
IYR,0.44,4501.000488,0.011791155,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
SCHG,0.04,7595.99707,0.017155062,N,N,N,Charles Schwab Corp/The,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
SJNK,0.4,3043.697266,0.037212643,N,N,N,State Street Corp,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
FEZ,0.29,2304.793701,0.02647997,N,N,N,State Street Corp,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
IJT,0.25,5368.358887,0.113375848,N,N,N,BlackRock Inc,Equity,Growth,North America,Small-cap,ETF,Growth,Market Cap,Quarterly
VMBS,0.07,8835.904297,0.019703854,N,N,N,Vanguard Group Inc/The,Fixed Income,Mortgage-Backed,#N/A N/A,#N/A N/A,ETF,Mortgage-Backed,Market Cap,Monthly
SCHE,0.13,5838.582031,0.041156184,N,N,N,Charles Schwab Corp/The,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
AAXJ,0.69,4019.482422,0.01551551,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
EMLC,0.3,5045.71875,0.030006022,N,N,N,Van Eck Associates Corp,Fixed Income,Government,#N/A N/A,#N/A N/A,ETF,Government,Market Cap,Monthly
SCHZ,0.04,6293.964844,0.021990177,N,N,N,ITVentures Ltd,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Market Cap,Monthly
GDXJ,0.54,3851.175049,0.032645529,N,N,N,Van Eck Associates Corp,Equity,Blend,North America,Small-cap,ETF,Blend,Market Cap,Quarterly
VSS,0.12,5389.907227,0.072253648,N,N,N,Vanguard Group Inc/The,Equity,Blend,Global,Small-cap,ETF,Blend,Market Cap,Quarterly
ITA,0.43,4879.529297,0.059691496,N,N,N,BlackRock Inc,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
HEFA,0.36,2876.494629,0.034619715,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Monthly
EEMV,0.25,5540.490234,0.018203822,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Multi Factor,Semi-Annually
XBI,0.35,4034.766846,0.030257076,N,N,N,State Street Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
CWB,0.4,3837.583008,0.020591229,N,N,N,State Street Corp,Fixed Income,Convertible,North America,#N/A N/A,ETF,Convertible,Market Cap,Monthly
MTUM,0.15,9454.196289,0.019867117,N,N,N,BlackRock Inc,Equity,Growth,North America,Large-cap,ETF,Growth,Multi Factor,Semi-Annually
FVD,0.7,6288.46582,0.032818322,N,N,N,Grace Partners of DuPage LP,Equity,Value,North America,Large-cap,ETF,Value,Equal,Monthly
VTIP,0.06,6165.76709,0.020571894,N,N,N,Vanguard Group Inc/The,Fixed Income,Inflation Protected,#N/A N/A,#N/A N/A,ETF,Inflation Protected,Market Cap,Monthly
VDE,0.1,3393.94751,0.046270931,N,N,N,Vanguard Group Inc/The,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
EWY,0.59,4332.525391,0.017513903,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
VDC,0.1,5072.215332,0.031330681,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
EWT,0.62,2892.949463,0.029924798,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Broad Market,ETF,Blend,Market Cap,Quarterly
SCHH,0.07,5506.804199,0.03192344,N,N,N,Charles Schwab Corp/The,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
ACWV,0.2,4722.22168,0.039188569,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Multi Factor,Quarterly
RWX,0.59,2246.045898,0.030765413,N,N,N,State Street Corp,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
IYW,0.43,3972.155518,0.040315283,N,N,N,BlackRock Inc,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
XLB,0.13,4166.371094,0.017463945,N,N,N,State Street Corp,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
SCHM,0.04,6067.783691,0.028541278,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Mid-cap,ETF,Blend,Market Cap,Yearly
SCHV,0.04,5865.391602,0.01975151,N,N,N,Charles Schwab Corp/The,Equity,Value,North America,Large-cap,ETF,Value,Market Cap,Quarterly
QUAL,0.15,10792.95215,0.022519591,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Multi Factor,Semi-Annually
TOTL,0.55,3286.184814,0.047347077,N,N,Y,State Street Corp,Fixed Income,Aggregate,#N/A N/A,#N/A N/A,ETF,Aggregate,Not Applicable,Other
SHM,0.2,3579.999512,0.021027497,N,N,N,State Street Corp,Fixed Income,Municipals,#N/A N/A,#N/A N/A,ETF,Municipals,Market Cap,Monthly
AMJ,0.85,2024.118652,0.04155268,N,N,N,JPMorgan Chase & Co,Equity,Blend,North America,Broad Market,ETN,Blend,Market Cap,Not Applicable
FXI,0.73,5311.175293,0.024528663,N,N,N,BlackRock Inc,Equity,Blend,Emerging Market,Large-cap,ETF,Blend,Market Cap,Quarterly
VIS,0.1,3461.020264,0.053625697,N,N,N,Vanguard Group Inc/The,Equity,Blend,North America,Broad Market,ETF,Blend,Market Cap,Quarterly
EWC,0.48,2606.992188,0.035826277,N,N,N,BlackRock Inc,Equity,Blend,North America,Large-cap,ETF,Blend,Market Cap,Quarterly
ICF,0.35,2277.331055,0.042765558,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
SHYG,0.3,2992.389893,0.022269965,N,N,N,BlackRock Inc,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
IEV,0.6,1785.284302,0.023027147,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
MGK,0.07,4274.209961,0.029462638,N,N,N,Vanguard Group Inc/The,Equity,Growth,North America,Large-cap,ETF,Growth,Market Cap,Quarterly
IEUR,0.1,3303.457031,0.025368517,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Broad Market,ETF,Blend,Market Cap,Quarterly
EFG,0.4,3867.128906,0.102810295,N,N,N,BlackRock Inc,Equity,Growth,Developed Market,Large-cap,ETF,Growth,Market Cap,Quarterly
KBE,0.35,1881.908813,0.024065817,N,N,N,State Street Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
EPP,0.49,2467.823242,0.022934862,N,N,N,BlackRock Inc,Equity,Blend,Developed Market,Large-cap,ETF,Blend,Market Cap,Quarterly
SCPB,#N/A N/A,5266.791016,#N/A N/A,N,N,N,State Street Corp,Fixed Income,Corporate,#N/A N/A,#N/A N/A,ETF,Corporate,Market Cap,Monthly
KRE,0.35,2188.636475,0.019272619,N,N,N,State Street Corp,Equity,Blend,North America,Broad Market,ETF,Blend,Equal,Quarterly
FNDX,0.25,4964.057617,0.037876496,N,N,N,Charles Schwab Corp/The,Equity,Blend,North America,Large-cap,ETF,Blend,Fundamentals,Quarterly
NOBL,0.35,4783.682617,0.027382556,N,N,N,ProFunds Group,Equity,Value,North America,Large-cap,ETF,Value,Equal,Quarterly
SPHD,0.3,3242.722168,0.029332642,N,N,N,Invesco Ltd,Equity,Blend,North America,Large-cap,ETF,Blend,Dividend,Semi-Annually
